Timestamp,CPU_Util_%,SysMem_Used_MiB,SysMem_Total_MiB,GPU0_Util_%,GPU0_Mem_Used_MiB,GPU0_Mem_Total_MiB,GPU1_Util_%,GPU1_Mem_Used_MiB,GPU1_Mem_Total_MiB
2025-05-19 19:51:41,9.00,7441,171045,45, 31803, 40960,0, 33509, 40960
2025-05-19 19:51:52,6.00,7448,171045,100, 31803, 40960,0, 33509, 40960
2025-05-19 19:52:03,10.00,7444,171045,35, 31803, 40960,32, 33509, 40960
2025-05-19 19:52:14,9.00,7436,171045,0, 31803, 40960,99, 33509, 40960
2025-05-19 19:52:26,11.00,7436,171045,28, 31803, 40960,28, 33509, 40960
2025-05-19 19:52:37,9.00,7424,171045,39, 31803, 40960,39, 33509, 40960
2025-05-19 19:52:48,2.00,7397,171045,0, 31803, 40960,0, 33509, 40960
2025-05-19 19:52:59,12.00,7419,171045,29, 31803, 40960,29, 33509, 40960
2025-05-19 19:53:10,11.00,7408,171045,40, 31803, 40960,40, 33509, 40960
2025-05-19 19:53:22,7.00,7431,171045,100, 31803, 40960,0, 33509, 40960
2025-05-19 19:53:33,9.00,7407,171045,30, 31803, 40960,29, 33509, 40960
2025-05-19 19:53:44,11.00,7398,171045,41, 31803, 40960,40, 33509, 40960
2025-05-19 19:53:55,5.00,7409,171045,0, 31803, 40960,0, 33509, 40960
2025-05-19 19:54:07,10.00,7394,171045,28, 31803, 40960,28, 33509, 40960
2025-05-19 19:54:18,10.00,7409,171045,38, 31803, 40960,38, 33509, 40960
2025-05-19 19:54:29,10.00,7399,171045,0, 31803, 40960,0, 33509, 40960
2025-05-19 19:54:40,9.00,7423,171045,30, 31803, 40960,31, 33509, 40960
2025-05-19 19:54:52,9.00,7429,171045,42, 31803, 40960,42, 33509, 40960
2025-05-19 19:55:03,8.00,7382,171045,100, 31803, 40960,100, 33509, 40960
2025-05-19 19:55:14,11.00,7408,171045,35, 31803, 40960,35, 33509, 40960
2025-05-19 19:55:25,9.00,7391,171045,45, 31803, 40960,45, 33509, 40960
2025-05-19 19:55:36,7.00,7396,171045,0, 31803, 40960,100, 33509, 40960
2025-05-19 19:55:47,10.00,7429,171045,33, 31803, 40960,32, 33509, 40960
2025-05-19 19:55:59,10.00,7414,171045,45, 31803, 40960,42, 33509, 40960
2025-05-19 19:56:10,10.00,7404,171045,100, 31803, 40960,100, 33509, 40960
2025-05-19 19:56:21,10.00,7440,171045,35, 31803, 40960,35, 33509, 40960
2025-05-19 19:56:32,6.00,7412,171045,0, 31803, 40960,45, 33509, 40960
2025-05-19 19:56:44,6.00,7419,171045,100, 31803, 40960,0, 33509, 40960
2025-05-19 19:56:55,11.00,7451,171045,33, 31803, 40960,32, 33509, 40960
2025-05-19 19:57:06,9.00,7415,171045,45, 31803, 40960,44, 33509, 40960
2025-05-19 19:57:17,8.00,7427,171045,0, 31803, 40960,100, 33509, 40960
2025-05-19 19:57:28,9.00,7444,171045,34, 31803, 40960,34, 33509, 40960
2025-05-19 19:57:39,6.00,7418,171045,44, 31803, 40960,0, 33509, 40960
2025-05-19 19:57:50,8.00,7397,171045,100, 31803, 40960,100, 33509, 40960
2025-05-19 19:58:01,12.00,7416,171045,36, 31803, 40960,33, 33509, 40960
2025-05-19 19:58:13,7.00,7409,171045,46, 31803, 40960,0, 33509, 40960
